Period,Team,Manager,SentimentScore,Response,KeyPhrases
2019-Q2,Team 3,Mgr 1,0.13,Our team has a lot of internal trust with really strong collaboration.  Many tiems we can be slow to release due to dependencies of other teams. ,"lot of internal trust, strong collaboration, dependencies, tiems, teams"
2018-Q3,Team 4,Mgr 1,0.95,"Our team health is a good indicator of how our team functions and approaches our day to day tasks. We work together well as a team and try to incorporate the agile principles in our work. We have some scope of improvement in a few of the processes we follow to ensure more efficiency. We also have cross team dependencies which impact our productivity, though it has gotten better. Overall, I think it’s a great team and we are on the right path to success.","team functions, team health, great team, cross team dependencies, work, day tasks, good indicator, productivity, right path, agile principles, processes, success, scope of improvement, efficiency"
2018-Q3,Team 2,Mgr 1,0.94,Our team health is excellent with a lot of opportunities to collaborate and support. There is always learning and fun involved in what we do on a day to day basis.,"day basis, lot of opportunities, team health, support, fun"
2019-Q1,Team 4,Mgr 1,0.98,"our team health is good - we are open, honest and trusting. We learn and grow together and give amazing constructive feedback. We put out a substantial amount of work that our stakeholders enjoy.","team health, amazing constructive feedback, work, stakeholders"
2018-Q4,Team 8,Mgr 3,0.94,"Our team health is pretty good, well coordinated along with good team work and work spirit.","good team work, work spirit, team health"
2018-Q4,Team 3,Mgr 1,0.94,Our team health is pretty good.  The health of our team seems to stay fairly stable.,team health
2019-Q1,Team 6,Mgr 2,0.17,"Our team health is very good, it seems the health of the organization is bad","team health, organization"
2018-Q4,Team 3,Mgr 1,0.78,"Our team is close knit and works well together.  Due to ProjectX, we are struggling with setting asie time for learning, innovation and fully understanding our mission.  We are good on development speed, but need to fin a way to get ahead on grooming speed.  We need to have more fun!","development speed, grooming speed, innovation, setting asie time, learning, team, close knit, way, projectx, mission"
2019-Q2,Team 5,Mgr 2,0.93,Our team's health is very good. We are open to discussing difficult topics are willing to work through them.,"difficult topics, team's health"
2018-Q3,Team 6,Mgr 2,0.99,"Over all looks good, however processes can be improved to make more visibility and realistic.","processes, visibility"
2018-Q4,Team 6,Mgr 2,0.96,Over it is great. Best team I've worked on! We still look for areas to improve and are willing to try new changes and keep working.,"new changes, best team, areas"
2018-Q3,Team 2,Mgr 1,0.96,"Over, team health is very good. Team is very supportive, work structure breakdown is done in a good way so that the team can work on it.","team health, good way, work structure breakdown"
2019-Q1,Team 4,Mgr 1,0.94,overall good health. We have a strong PO that helps keep the focus on stakeholder priorities and setting the right expectations We've had some turnover which is challenging but our team is strong and I'm really glad to be a part of it.,"strong po, right expectations, stakeholder priorities, focus, turnover, team, good health"
2018-Q4,Team 2,Mgr 1,0.19,"Overall good.  Dedication and skill help us deliver product on time.  Problems are lack of support from other teams, and large team size can hamper discussion, efficienty and teamwork.","discussion, teams, large team size, efficienty, lack of support, skill, product, dedication, time, problems"
2019-Q2,Team 9,Mgr 3,0.77,"Overall health is good and needs some improvements. Things which can help - Better Product knowledge on ODI, GUC, SOACS, OCI Cloud ; Shorter Meetings/Less Meetings; More planned work (I know its difficult always); SOACS product flexibility with migrations","soacs product flexibility, shorter meetings, better product knowledge, guc, odi, oci cloud, planned work, migrations, overall health, improvements"
2019-Q2,Team 9,Mgr 3,0.79,Overall I feel pretty good about teamwork and the constructive conversations around areas for improvement.  It seems may of these areas are related to ProjectX & Cloud.  I am concerned about the red responses and whether it is one person having a bad experience on the team.  But overall I am very happy with my team.,"areas, constructive conversations, teamwork, person, bad experience, improvement, projectx, cloud, red responses"
2018-Q4,Team 6,Mgr 2,0.95,"Overall I think we fall into ""Green"". Our team works well together even when respectful differences come up. We retro and have a great mindset when it comes to experiments and trying new things.","experiments, great mindset, new things, respectful differences, team"
2018-Q4,Team 1,Mgr 1,0.83,"Overall it looks good but want to get to ""GREAT""",""
2018-Q4,Team 1,Mgr 1,0.86,"Overall performance of team is Green, all are working hard and having fun.","overall performance of team, fun"
2018-Q3,Team 6,Mgr 2,0.5,Overall team health is Green. Some of the areas that are showing yellow are due to other factors impacting the team.,"overall team health, factors, areas"
2018-Q4,Team 5,Mgr 2,0.79,"Overall team health is not bad.  We have few issues in terms of planning, gathering requirements and overall products long term vision.","overall team health, overall products long term vision, requirements, terms of planning, issues"
2018-Q4,Team 9,Mgr 3,0.77,"Overall team health needs improvement but the places which need work have shown a capacity for improvement. Additionally, I feel the levels of teamwork and individual skill bode well for the future.","overall team health needs improvement, places, individual skill, levels of teamwork, future, capacity"
2018-Q3,Team 6,Mgr 2,0.18,Overall team health remains high but it is being dragged down by the workload and uncertainty of ProjectX.,"overall team health, workload, uncertainty of projectx"
2018-Q3,Team 5,Mgr 2,0.77,"Overall the team health is hovering between good and average. There are definitely few points to improve that will enhance the team health, example-involving all stakeholders when we have an exact work with strict deadline etc. There are a lot learning opportunities and support within the team.","team health, lot learning opportunities, strict deadline, exact work, stakeholders, support, example, average, points"
2018-Q3,Team 6,Mgr 2,0.83,"Overall the team itself as one as individuals working together is aswesome. Collectively we learn, grow, disagree and build as one. We work togther and have fun. Team collaboration is high but trust is even higher, which is awesome.","team collaboration, trust, individuals, togther, fun, aswesome"
2019-Q1,Team 3,Mgr 1,0.15,"Overall there is uncertainty on the team because we have experienced major people changes in the last few months. People are anxious about the future and how everyone will work together. We're staying positive, but also aware that more changes are coming.","changes, major people, team, future, uncertainty, months"
2019-Q1,Team 2,Mgr 1,0.95,Overall we do a great job.  Keep doing and delivering awesome stuff.,"great job, awesome stuff"
2019-Q2,Team 6,Mgr 2,0.84,"Overall, health of team is strong. Some concern about reorg issues and organizational interactivity, but overall good. Remote email I feel very good, it is all around positive.","organizational interactivity, concern, reorg issues, health of team, remote email"
2019-Q2,Team 5,Mgr 2,0.85,"Overall, I believe our team is in good shape.","team, good shape"
2019-Q2,Team 1,Mgr 1,0.79,"Overall, I believe that the InfoSec team is progressing in the right direction. During the team health we voted at least 4+ green categories which indicates that we have shared beliefs and perspectives.","team health, infosec team, shared beliefs, right direction, green categories, perspectives"
2019-Q2,Team 3,Mgr 1,0.77,"Overall, I believe the team health for the Service Desk Leadership team is in good shape.  We have room for improvment in some areas. ","team health, service desk leadership team, good shape, room, improvment, areas"
2018-Q3,Team 3,Mgr 1,0.17,"Overall, I feel is is very strong. The team is looking for ways to constantly imporve and try new methods.","ways, imporve, new methods, team"
2018-Q4,Team 6,Mgr 2,0.24,"Overall, I feel that our team is healhty and in a good state. There are things we want to imporive as time goes on, but we're definitely trending in the right direction.","healhty, good state, things, imporive, time, team, right direction"
2019-Q2,Team 5,Mgr 2,0.84,"Overall, I think we have a healthy team. There seems to be some questions within about how we work and what the mission is.","healthy team, questions, mission"
2018-Q3,Team 9,Mgr 3,0.74,"Overall, I would say things are ""okay"". I think in nearly every one of our discussions we indentified clear areas of improvement. Overall though, compared to our previous team health session, I think we trended downward in most categories.","discussions, previous team health session, clear areas of improvement, things, categories"
2018-Q3,Team 3,Mgr 1,0.86,"Overall, it looks great working on this team and people in the team.","team, people, great working"
2018-Q4,Team 6,Mgr 2,0.5,"Overall, our team is in the green. There are areas we can improve on. Most of the ""yellow"" that was discussed referenced outside teams, outside people, outside influences.","teams, people, influences, green, areas"
2018-Q4,Team 5,Mgr 2,0.04,"Overall, the feeling is there are pain points with support, pawns/players, mission, learning that needs some addressing.  The other issues are already being handles or ideas are being implemented.","support, pawns, pain points, players, mission, feeling, issues, ideas"
2019-Q2,Team 6,Mgr 2,0.97,"Overall, the team is in a much better shape today than a year ago. We are learning from each other and having fun doing so. Looking forward to the team improving.","team, better shape, year, fun"
2018-Q4,Team 1,Mgr 1,0.24,"Overall, things are going well. However, there is a need to increase the sense of ownership over what is being asked and delivered","need, sense of ownership, things"
2018-Q4,Team 6,Mgr 2,0.8,"Overall, very good! One of the strenghts on this team is the ability to have open and candid discussions. There are some oustanding issues; we'll try to work to make them better.","ability, team, candid discussions, strenghts, oustanding issues"
2019-Q1,Team 3,Mgr 1,0.85,"Overall, we are doing a great job!  Our teamwork is 100% green.  We trust each other and have faith in our technical skills.  We need to work on making time outside of innovation time.  ProjectX is a huge weight on our yellow responses.  Collaborative, trust, support needed, pawns.","trust, innovation time, huge weight, yellow responses, support, faith, technical skills, projectx, collaborative, pawns"
2018-Q4,Team 6,Mgr 2,0.86,People are getting drastically different experiences based on whether or not they are involved in ProjectX.,"people, different experiences, projectx"
2018-Q4,Team 7,Mgr 3,0.97,Positive and Optimistic. IO think we have a talented team and look forward to the work we're going to do in 2019.,"talented team, io, work"
2019-Q1,Team 7,Mgr 3,0.85,"Positive mindset, willingness to help one another, eager to learn and grow,. Many challenges to overcome outside of our team to empower us to get to where we need to be.","willingness, positive mindset, challenges, team"
2019-Q1,Team 8,Mgr 3,0.95,"Positive, future appears bright.",future
2018-Q3,Team 1,Mgr 1,0.87,"Positive, shared experiences, optimistic, tired",shared experiences
2018-Q3,Team 8,Mgr 3,0.5,ProjectX is definitely affecting overall team health. Team needs more support form the management in braiding resources for knowedge improvement in cloud workspace.,"overall team health, braiding resources, knowedge improvement, management, cloud workspace, support, projectx"
2018-Q3,Team 7,Mgr 3,0.91,Session was very interactive. We came up with some action items for improvements that can be done with in the team.,"improvements, action items, session, team"
2019-Q2,Team 2,Mgr 1,0.97,Siloed.  Fun,fun
2019-Q1,Team 1,Mgr 1,0.75,Solid,""
2018-Q3,Team 7,Mgr 3,0.5,"Solid yellow. Team is strong, but knows that there are opportunities for improvment. The challenge is finding the time to take action on these.","time, solid yellow, team, opportunities, improvment, challenge, action"
2018-Q3,Team 3,Mgr 1,0.19,Surprised and happy we didn't have any red. Happy with everything that in going on.,""
2018-Q4,Team 7,Mgr 3,0.7,Surprised to see team split in voting and might need to start expressing these during regular retros instead of waiting until team health sessions.,"team health sessions, regular retros, voting"
2019-Q1,Team 2,Mgr 1,0.73,Team 3 team provides great value to our stakeholders.  Works well together.  Timber has too many limitations.  Process holds us back.,"team, great value, stakeholders, timber, limitations, process"
2018-Q4,Team 1,Mgr 1,0.95,"Team consist of good team members, ready for anything new.",good team members
2019-Q2,Team 8,Mgr 3,0.15,"Team continues to evolve - if something isn't working, we adjust.",team
2019-Q2,Team 8,Mgr 3,0.82,Team health generally is good but there is always room for improvement.,"room, team health, improvement"
2018-Q3,Team 5,Mgr 2,0.17,Team Health has improved since our last re-org.  We feel we are making a difference to the business.  It would help us more to have more agility in the business.,"business, team health, difference, agility"
2018-Q4,Team 3,Mgr 1,0.18,"Team health is generally good.  ProjectX was mentioned 476 times in the session, in a not positive way.  Something to watch as far as future.","session, times, team health, positive way, projectx, future"
2019-Q2,Team 6,Mgr 2,0.78,"Team health is good in spite of external stress related to department reorg, ProjectX limitations on time and training, ERP team was asked to do more with and we do.","team health, erp team, time, department reorg, projectx limitations, spite of external stress, training"
2019-Q2,Team 6,Mgr 2,0.7,"Team health is great, however, team needs more support from upper management when it comes to training the team on new technologies onboarded as well as when bringing new technologies to this team. Also, when reorg, team needs to be consulted.","team health, new technologies, support, upper management, reorg"
2018-Q3,Team 6,Mgr 2,0.98,Team health is looking good. I guess the synergy is working well and we have a good understanding between team members. We have a good vision and lot of learning opportunities as well.,"good vision, good understanding, team members, team health, lot of learning opportunities, synergy"
2019-Q2,Team 1,Mgr 1,0.25,Team health is strong. I'm not sure workshop drives additional results for healthy teams.,"additional results, sure workshop, healthy teams, team health"
2018-Q3,Team 6,Mgr 2,0.22,"Team Health looks good, there are some issues which are not in our control like processes/other teams dependencies etc. which needs to be highlighted to higher management. Team definitely needs some personal time like happy hour or day of caring etc to gel more with each other.","team health, happy hour, personal time, control, day of caring, processes, teams dependencies, issues, higher management"
2019-Q2,Team 9,Mgr 3,0,Team is challenged with a lot of support tickets and having less time to work on planned work. Team is stressed with workload and feel their work is not valued.,"planned work, team, time, lot of support tickets, workload"
2018-Q3,Team 9,Mgr 3,0.22,Team is getting better.,team
2018-Q3,Team 6,Mgr 2,0.96,"Team is great to work with, we are marching towards great ProjectX goals. It will get hard but we can enjoy the journey as it will us a great satisfaction on delivering great value and getting great learning.","great value, great satisfaction, great learning, great projectx goals, journey, team"
2018-Q4,Team 7,Mgr 3,0.97,Team is in a good place. We've made a lot of good improvement in the last months and are integrating new team members well. Its all good.,"good place, lot of good improvement, new team members, months"
2019-Q2,Team 4,Mgr 1,0.94,Team is in good shape.  The addition of new team members with job responsibilities outside of EUC has added tension to some of the aspects of the team health.  Overall I feel good that the team will move through the transition and be a better team.  By taking some actions that we identified we can contue the awesome.,"team health, better team, addition of new team members, good shape, job responsibilities, euc, tension, aspects, transition, contue, actions"
2018-Q3,Team 8,Mgr 3,0.76,Team is motivated towards driving team health to green but because of outside pressure we are not able to achieve it.,"team health, outside pressure"
2019-Q1,Team 8,Mgr 3,0.2,"Team is strong, but in need of value-add work to deliver to stakeholders.","need of value, work, team, stakeholders"
2018-Q3,Team 5,Mgr 2,0.18,Team is struggling to keep up with timelines of ProjectX. We are getting surprises along the way but we are trying to achieve target dates.,"timelines of projectx, surprises, way, target dates, team"
2019-Q1,Team 3,Mgr 1,0.75,"Team is too big, progress can be sluggish.  People should be better aligned to their skill sets.  Bringing whole team to every meeting is slowing us down.","team, progress, skill sets, meeting, people"
2019-Q2,Team 9,Mgr 3,0.9,Team is wonderful to work with amazing talent we have. Be it collaboration or team work. We are always green.,"team work, amazing talent, collaboration"
2018-Q3,Team 5,Mgr 2,0.5,"Team needs more activities to bond, right now feel its not one team as the idea of work or conversation the whole team is not aware.","team, conversation, idea of work, activities, bond"
2018-Q4,Team 8,Mgr 3,0.97,Team Supportinve. Good Scope of learning new technologies. Well defined process. Agile Model implementation is a big assett for IT.,"good scope of learning new technologies, agile model implementation, big assett, team supportinve, defined process"
2018-Q3,Team 3,Mgr 1,0.95,Team work is a positive.  We are providing value to business and doing best wherever we can.,"team work, value, business"
2019-Q1,Team 7,Mgr 3,0.91,team works well together. Team works hard to be cross trained. Team provides value to business. Our health is great overall,"team, health, value, business"
2018-Q4,Team 3,Mgr 1,0.81,"Team's health is overall good, but there is a lot of room for improvement","lot of room, improvement, team's health"
2019-Q1,Team 9,Mgr 3,0.87,Teams is gelling good and team work is a positive thing.  Team is providing value to business and doing best whatever we have in our hand.  Team needs to improve on agile process.,"team work, positive thing, teams, value, business, agile process, hand"
2018-Q4,Team 7,Mgr 3,0.07,The future is uncertain.,future
2018-Q4,Team 7,Mgr 3,0.25,The health is healthy and team are discussing issues in productive manner.,"team, issues, productive manner, health"
2019-Q2,Team 6,Mgr 2,0.04,The questions are interpreted differently by everybody - we get consensus on score but not definition so results of team health aren't actionable. Team is frustrated and exhausted due to lack of training and workload.,"team health, definition, lack of training, workload, consensus, score, questions"
2019-Q1,Team 1,Mgr 1,0.97,"The Team 2 team is a  collaborative group producing valuable work.  We have bright and knowledgeable resources ready to deliver for the business in support of our service contract management business.  As our team matures and as our relationship and focus with the business stakeholders grow, we will be better positioned to drive further value through Team 2.","team, business stakeholders, service contract management business, support, collaborative group, knowledgeable resources ready, valuable work, relationship, value"
2019-Q1,Team 2,Mgr 1,0.95,"The Team 3 team is cohesive, professional and fun to work with.",team
2018-Q4,Team 9,Mgr 3,0.8,The team enjoys working together. There are some practices we would like to change.,"team, practices"
2019-Q2,Team 2,Mgr 1,0.81,The team has a lot of fun and is self aware of our overall health,"lot of fun, overall health, team"
2018-Q4,Team 9,Mgr 3,0.87,The team has great collaboration and support from each other for accomplishing goals. All members of the team feel satisfied working on tasks and have lots of opportunities to learn and have fun.,"team, support, tasks, satisfied working, great collaboration, members, accomplishing goals, opportunities, fun"
2018-Q4,Team 7,Mgr 3,0.95,The Team health seems pretty good.,team health
2018-Q3,Team 4,Mgr 1,0.97,"The team is definitely healthy, but there is a lot of room for improvement. Great team and very happy and glad to be a part of it.","great team, lot of room, improvement"
2018-Q3,Team 3,Mgr 1,0.96,The Team is great.  Have good support and cooperation.,"good support, cooperation, team"
2019-Q1,Team 8,Mgr 3,0.96,The Team is great.  Have good support and cooperation.,"good support, cooperation, team"
2018-Q4,Team 9,Mgr 3,0.88,The team is very open and honest with each other. Helps us stay grounded and keep improving as we move forward.,team
2018-Q3,Team 7,Mgr 3,0.24,The team overall is trending upwards. The team are solid performers.,"team, solid performers"
2019-Q2,Team 6,Mgr 2,0.95,The team's health has significantly increased. We work together and have a good time while doing it. We are good at executing and completing projects in a timely manner and our numbers really show it.,"good time, timely manner, projects, numbers, team's health"
2018-Q4,Team 5,Mgr 2,0.19,"The team's health is drastically influenced by the process surrounding the team, specifically the product owner and a lack of vision/mission that the team agrees on.","lack of vision, product owner, mission, process, team's health"
2018-Q3,Team 8,Mgr 3,0.09,There are areas the team needs to work on but overall the team is doing well.,"areas, team"
2018-Q4,Team 3,Mgr 1,0.26,There are quite a few things that need to be addressed that I was unaware.  Many feel that the organization is NOT all agile.  That was surprizing.  We need more training and education on the company's mission.  We have a long way to go.,"training, education, company's mission, organization, long way, feel, things"
2018-Q3,Team 8,Mgr 3,0.21,Theres a lot to do but the team appears to be working in the right direction.,"lot, right direction, theres, team"
2019-Q2,Team 7,Mgr 3,0.93,This is a great team. We hold each other accountable - looking forward to the opportunities this year.,"opportunities, great team, year"
2019-Q2,Team 5,Mgr 2,0.97,This is the best team environment I have been on at Acme Corp. I have fun everyday I am here and look forward to being here. I consider my team the best in infrasec.,"best team environment, acme, infrasec"
2018-Q3,Team 1,Mgr 1,0.91,"This is the first team health session for the newly formed larger group, so some growing pains are expected, the ProjectX R1 deliverables certainly add time pressure & constraints, but I see the team helping each other out and producing good work.  I feel we are going very well - we will grown out of teething issues and I am very optimistic about our team's future.","team health session, formed larger group, projectx r1 deliverables, time pressure, growing pains, constraints, teething issues, team's future, good work"
2019-Q2,Team 6,Mgr 2,0.5,This team supports one another through think and thin. They care about our product and the quality and speed of the support they provide. Obviously training opportunities are important to them.,"quality, speed, product, support, opportunities, team, think"
2019-Q2,Team 9,Mgr 3,0.87,Trending in the right direction,"trending, right direction"
2019-Q2,Team 2,Mgr 1,0.75,Unique,""
2018-Q4,Team 1,Mgr 1,0.96,Used to be better and could be better.  A lot of this stems from the unknown of ProjectX. We need to stay motivated and make time for some fun.,"stems, unknown of projectx, time, fun, lot"
2018-Q3,Team 9,Mgr 3,0.98,Very good - team itself is very good. We do great work and are highly functional. We also know there is room for improvement.,"good - team, great work, room, improvement"
2019-Q2,Team 9,Mgr 3,0.78,"Very Good! Mostly Green, No Red, Only 3 Areas that are Yellow. Being Short handed impacts our Health. Would like to improve other teams perception of the value we provide.","short handed impacts, health, red, areas, value, teams perception"
2019-Q2,Team 2,Mgr 1,0.16,Very good.  No one gets totally hung up on issues and most importantly are here for each other first and themselves second.,issues
2018-Q4,Team 3,Mgr 1,0.94,"Very mature team, fun working, helpful team members, Legacy knowledge needs to be shared.","helpful team members, mature team, fun working, legacy knowledge needs"
2019-Q2,Team 4,Mgr 1,0.76,We are a fun team that works well together.  We are siloed into our areas of focus with little broaching opportunities.  We have problems with technical debt and standardizing.  Customer feedback acquisistion is difficult.,"areas of focus, little broaching opportunities, customer feedback acquisistion, problems, technical debt, standardizing, fun team"
2019-Q1,Team 5,Mgr 2,0.98,we are a strong team in the forming stage of creating capability groups. I believe we'll have a productive and valuable 2019.,"forming stage, strong team, capability groups"
2018-Q4,Team 1,Mgr 1,0.14,We are anxious about what the future holds for us.,future holds
2019-Q1,Team 5,Mgr 2,0.89,We are at a point of exceptional opportunity to go out there and deliver true business value for external users and internal users. Our vision for this product needs clarity along with the process definition of value needs improvement. But we are in good steed overall.,"external users, internal users, process definition of value needs improvement, true business value, product needs clarity, vision, point of exceptional opportunity, good steed"
2019-Q1,Team 6,Mgr 2,0.23,We are at the very beginning of a long path but we are aligned and in it together,"beginning, long path"
2019-Q1,Team 5,Mgr 2,0.88,We are awesome! Other teams are holding us back.,teams
2018-Q4,Team 2,Mgr 1,0.94,We are doing good.  Few ups and downs with ProjectX and the unknowns.  Also once we have another team lead we will have a suitable process for incoming work & support etc.,"suitable process, incoming work, support, downs, projectx, ups, unknowns, team"
2019-Q2,Team 3,Mgr 1,0.87,We are doing our best with the things we are in control of,"things, best, control"
2018-Q3,Team 3,Mgr 1,0.95,We are executing better as a team.,team
2019-Q1,Team 9,Mgr 3,0.95,We are executing better as a team.,team
2019-Q1,Team 5,Mgr 2,0.84,We are fun! We learn! We have problems with support!,"problems, support"
2019-Q2,Team 7,Mgr 3,0.92,"we are on a good path, we need to keep doing whatever we are doing. As a team we need to expand out horizon.","good path, team, horizon"
2019-Q2,Team 7,Mgr 3,0.8,We are trending in a positive direction - a lot of the issues discussed are known and already focused for improvement. We are getting better.,"lot, positive direction, issues, improvement"
2019-Q1,Team 9,Mgr 3,0.21,We are trending in the right direction.  Team is working well together.  A lot of frustration though due to oracle's inability to support our business.,"oracle's inability, lot of frustration, business, right direction, team"
2019-Q2,Team 9,Mgr 3,0.92,"We are working great as team. All team members are involved and contributing. IOn my view, it is trending up. We should continue on this progression.","team members, view, progression"
2019-Q1,Team 6,Mgr 2,0.12,"we continue to suffer from a poor relationship with the business and lack of product vision, Our team gets along well and has a shared vision","lack of product vision, shared vision, business, poor relationship, team"
2018-Q3,Team 1,Mgr 1,0.87,We do have lot of work now but we are a good team with good team work and support.,"good team work, lot of work, support"
2018-Q3,Team 9,Mgr 3,0.72,"We fee great especially from where we came from starting in January 2018.  We generally feel the same way about the tiem, no outliers.","way, tiem, outliers"
2019-Q1,Team 1,Mgr 1,0.86,"We feel good about our teamwork, process, tech quality, knowledge sharing and enjoy working together.  We look to improve defining our mission and roadmap and working with other IT teams to better support our needs.","process, tech quality, teamwork, knowledge sharing, roadmap, teams, mission, needs"
2018-Q3,Team 6,Mgr 2,0.06,We have a good team. I think outside factors are causing headaches. This team has get it done feeling.,"good team, factors, headaches"
2018-Q4,Team 5,Mgr 2,0.76,"We have a group of caring individuals who support each other.  We do not have clarity on mission or vision of the product, organization or the work we do.","vision, product, mission, organization, group of caring individuals, work, clarity"
2018-Q4,Team 2,Mgr 1,0.5,"We have a lot of newer people with one team lead who is normally gone for SIT testing.  We have a large team, once we get another Team Lead I feel all loose ends will tie.","team lead, large team, lot of newer people, loose ends, sit testing"
2019-Q1,Team 1,Mgr 1,0.5,"we have a sound and collaborative team focused on delivery for the business under the current vision and scope for the product. As the vision and scope evolve, we will have the opportunity to expand on the value and capabilities of the product and ensure the proper process and discipline adapt accordingly","product, scope, current vision, delivery, business, collaborative team, sound, value, proper process, discipline, capabilities"
2019-Q1,Team 3,Mgr 1,0.92,"We have a strong, productive, quick, trusting team.  However, we need more breathing room to decompress after largely completing R1.","team, breathing room, r1"
2019-Q1,Team 1,Mgr 1,0.99,We have great teamwork.  We have a lot of fun.  We have a very passionate team.  I am very proud to be a part of this team.  ProjectX has impacted overall organization process and impeded our agile transformation as an organization.,"overall organization process, passionate team, agile transformation, projectx, great teamwork, lot of fun"
2019-Q2,Team 5,Mgr 2,0.72,We have some stuff to discuss on team work  but overall as a team and what we provide. I wouldn't give us a green.,"team work, stuff"
2019-Q1,Team 6,Mgr 2,0.79,we have some things to work on so it is great that we have these meetings to help identify some of those key areas,"meetings, key areas, things"
2018-Q3,Team 5,Mgr 2,0.98,We have super awesome Team Lead.  Great teamwork. Zeal to learn.  Need more business relationship involvement.  We have a great PO.  We strive towards pursuing agility.,"great teamwork, great po, super awesome team lead, business relationship involvement, pursuing agility, zeal"
2018-Q4,Team 9,Mgr 3,0.95,We know what areas to improve on. Good discussion and facilitation. It would be great fi there was more agile context within the leadership team - especially with ProjectX. With a smaller team post-IT re-org we are hoping for more focus in the team.,"leadership team, smaller team post-, agile context, re-org, great fi, good discussion, facilitation, projectx, focus, areas"
2019-Q1,Team 1,Mgr 1,0.98,"we work well as a team, we have fun together, I think we are very healthy","team, fun"
2018-Q4,Team 4,Mgr 1,0.94,"We work well together. We are a high performance team. We have some areas to grow in, but adapt well to change.","high performance team, areas"
2019-Q1,Team 1,Mgr 1,0.91,We're a fun team that works well together and is constantly learning together. We are small which allows us to move quickly and have a process with very little overhead.,"little overhead, process, fun team"
2019-Q2,Team 7,Mgr 3,0.7,We're green - once we improve known velocity and release ratios we will be very strong.,"known velocity, release ratios"
2019-Q2,Team 6,Mgr 2,0.5,We're okay - a lot of our feelings right now are due to the impact of elements outside of our control (ProjectX),"control, impact of elements, lot, feelings, projectx"
2019-Q1,Team 3,Mgr 1,0.83,"Where we can control the outcome, looks super positive.  It seems like where we depend on others is where we can't control our destiny and things get negative.","outcome, destiny, things"
2018-Q4,Team 6,Mgr 2,0.89,Within team functioning working good and team collaboration absolutely fine. ProjectX point of view few concerns with cross team collaboration.,"cross team collaboration, team functioning, concerns, projectx point"
2019-Q1,Team 6,Mgr 2,0.07,Within the team we are healthy. We cooperate and provide each other accountability and an avenue for improvement. Outside of the team I feel like we are not valued and that lack of value bleeds into many of the dimensions.,"team, lack of value bleeds, accountability, avenue, improvement, dimensions"
